Player,Nation,Squad,Stage_Label,Stage_Num,Profile_Class,Profile_Label,classification_certainty,npxG_per90,xAG_per90,prog_carries_per90,pass_completion_pct,aerials_contested_per90,pressures_per90,z_npxG_per90,z_xAG_per90,z_prog_carries_per90,z_pressures_per90,z_pass_completion_pct,z_aerials_contested_per90,min_per90_sum,data_source,data_note,tournament
Valentín Barco,ARG,Argentina,Quarterfinal,5,5,Balanced Contributors,0.8444137678128284,0.049689440993788817,0.13043478260869565,1.4906832298136645,80.88842975206612,0.35714285714285715,5.714285714285714,-0.0930683505821815,1.3564506784385335,-0.2530675741448576,-0.3002327601319758,0.14397303416083246,-0.6310487939846117,16.1,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Julián Malatini,ARG,Argentina,Quarterfinal,5,5,Balanced Contributors,0.8233779128268603,0.04,0.1,1.6,86.42384105960265,2.0833333333333335,3.75,-0.20246366928468518,0.9001928580488104,-0.20315514862881345,-0.7144611338409543,0.6690824618588309,1.1784970881968873,5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Óscar Trejo,ARG,Argentina,Quarterfinal,5,1,Physical Attackers,0.8200416635082924,0.10909090909090909,0.18181818181818182,2.727272727272727,83.65384615384616,3.5714285714285716,2.142857142857143,0.5775836032350324,2.126756089486118,0.31154095829386425,-1.0533752577846638,0.40631058116628466,2.738450434905076,5.5,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Matìas Soulé,ARG,Argentina,Quarterfinal,5,1,Physical Attackers,0.8115278500000923,0.15151515151515152,0.26262626262626265,4.242424242424242,82.19895287958116,1.8604651162790697,1.1627906976744187,1.0565599986418768,3.338176564979755,1.003336800931872,-1.2600515710940061,0.268294066734774,0.9448668660387305,19.8,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Enzo Fernández,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.8058976815172895,0.18654434250764523,0.2079510703363914,1.8348623853211008,79.89473684210526,1.5789473684210527,2.807017543859649,1.4520450957667936,2.5185228028911695,-0.09592044626907244,-0.9133171792738132,0.049707678568074655,0.6497550064705326,32.7,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Nahuel Molina,ARG,Argentina,Quarterfinal,5,5,Balanced Contributors,0.785047221283397,0.04519774011299436,0.08474576271186442,1.9774011299435028,79.94923857868021,1.8604651162790697,3.488372093023256,-0.14378036272878603,0.6715115776113465,-0.030839357045624297,-0.7696332005294652,0.054877913282603046,0.9448668660387305,17.7,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Martín Payero,ARG,Argentina,Quarterfinal,5,1,Physical Attackers,0.7614763578023658,0.0784313725490196,0.08496732026143791,2.156862745098039,77.75330396475772,4.583333333333334,2.916666666666667,0.23143259478975015,0.6748330195930089,0.05110017047720251,-0.8901943832932481,-0.15343650172917658,3.799218710666645,15.3,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Benjamín Domínguez,ARG,Argentina,Quarterfinal,5,3,Pressing Engines,0.6684562702259506,0.15492957746478875,0.05633802816901409,3.5211267605633805,78.16091954022988,3.333333333333333,0.9090909090909091,1.0951094067229106,0.24564190042733672,0.6740030054225108,-1.3135517569737745,-0.1147685925775014,2.4888578994317654,14.2,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Alexis Mac Allister,ARG,Argentina,Quarterfinal,5,5,Balanced Contributors,0.6663374728871472,0.09688581314878893,0.16262975778546715,1.245674740484429,83.53018372703413,1.9354838709677418,3.3870967741935485,0.4397861429647491,1.8390961236357692,-0.3649348380019869,-0.790990129570179,0.39457950960479105,1.0235081750400734,28.9,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
Cristian Romero,ARG,Argentina,Quarterfinal,5,5,Balanced Contributors,0.662133366477259,0.10191082802547771,0.03821656050955414,0.7643312101910829,89.45216680294358,4.142857142857143,3,0.49651935433087147,-0.026022972059899306,-0.5847091970728285,-0.8726210583480188,0.9563605536970634,3.337472520041021,15.7,big5_club_2024-25,FBref WC group-stage blocked by Cloudflare; club stats used as proxy,FIFA_WC_2026
